algorithm,cluster_count,noise_count,noise_share,coverage,silhouette_score,calinski_harabasz_score,davies_bouldin_score,minimum_cluster_size,maximum_cluster_share,eligible,n_clusters,linkage,metric,eps,min_samples,inertia
Agglomerative Clustering,7,0,0.0,1.0,0.1521126058216707,281.40235970922606,1.6362944286233094,22.0,0.8998581560283688,False,7.0,complete,manhattan,,,
Agglomerative Clustering,7,0,0.0,1.0,0.37701259881832205,151.60363873462424,1.0506418537059317,3.0,0.9787234042553191,False,7.0,average,euclidean,,,
Agglomerative Clustering,7,0,0.0,1.0,0.3761648921275097,207.29138302371945,1.0513662023177306,3.0,0.9682269503546099,False,7.0,average,manhattan,,,
Agglomerative Clustering,7,0,0.0,1.0,0.048221355052247075,630.9076555975181,1.9580211803761745,41.0,0.3872340425531915,False,7.0,average,cosine,,,
Agglomerative Clustering,8,0,0.0,1.0,0.11572288133266534,916.758673169347,1.9873819796120786,126.0,0.24085106382978724,True,8.0,ward,euclidean,,,
Agglomerative Clustering,8,0,0.0,1.0,0.2914965362255821,500.15219869036923,1.4867007323554433,14.0,0.8133333333333334,False,8.0,complete,euclidean,,,
Agglomerative Clustering,8,0,0.0,1.0,0.16864231905233715,341.5906042181937,1.659434752319032,22.0,0.8719148936170212,False,8.0,complete,manhattan,,,
Agglomerative Clustering,8,0,0.0,1.0,0.32577192760835694,482.9690426409931,1.1011188001559844,3.0,0.82,False,8.0,average,euclidean,,,
Agglomerative Clustering,8,0,0.0,1.0,0.3566152308390203,179.1470264132246,1.0547028121896163,3.0,0.9682269503546099,False,8.0,average,manhattan,,,
Agglomerative Clustering,8,0,0.0,1.0,0.058368583294333816,594.565551371054,1.8393280376871357,41.0,0.3872340425531915,False,8.0,average,cosine,,,
Agglomerative Clustering,9,0,0.0,1.0,0.10718370744879055,866.3998512538343,1.9693442856846284,126.0,0.19120567375886524,True,9.0,ward,euclidean,,,
Agglomerative Clustering,9,0,0.0,1.0,0.29135558479558654,440.3562697701021,1.398454400659587,3.0,0.8133333333333334,False,9.0,complete,euclidean,,,
Agglomerative Clustering,9,0,0.0,1.0,0.16879127393203633,301.22933315162817,1.6461522902947086,8.0,0.8719148936170212,False,9.0,complete,manhattan,,,
Agglomerative Clustering,9,0,0.0,1.0,0.32577192760835694,424.308704638301,1.1378517990520995,3.0,0.82,False,9.0,average,euclidean,,,
Agglomerative Clustering,9,0,0.0,1.0,0.35616880690021596,157.02639974040198,0.9946752590573111,2.0,0.9682269503546099,False,9.0,average,manhattan,,,
Agglomerative Clustering,9,0,0.0,1.0,0.07722556184637908,600.0699971329998,1.853347110941581,41.0,0.23602836879432623,False,9.0,average,cosine,,,
Agglomerative Clustering,10,0,0.0,1.0,0.1107420158228197,827.8710395896414,1.9536047495115274,114.0,0.19120567375886524,True,10.0,ward,euclidean,,,
Agglomerative Clustering,10,0,0.0,1.0,0.29085875633907265,393.27279155280326,1.3881382315723594,3.0,0.8133333333333334,False,10.0,complete,euclidean,,,
Agglomerative Clustering,10,0,0.0,1.0,0.15388717738615412,271.82104135198256,1.6166938143447573,8.0,0.8719148936170212,False,10.0,complete,manhattan,,,
Agglomerative Clustering,10,0,0.0,1.0,0.30744908809203886,401.242193173831,1.1977950497701628,3.0,0.82,False,10.0,average,euclidean,,,
Agglomerative Clustering,10,0,0.0,1.0,0.34906874946942174,139.95139972849887,1.142030001900684,2.0,0.9682269503546099,False,10.0,average,manhattan,,,
Agglomerative Clustering,10,0,0.0,1.0,0.06312173813887272,541.5166745352441,1.851110900518967,41.0,0.23602836879432623,False,10.0,average,cosine,,,
Agglomerative Clustering,11,0,0.0,1.0,0.11235581369988232,796.1128658358762,1.9152521507049023,114.0,0.1774468085106383,True,11.0,ward,euclidean,,,
Agglomerative Clustering,11,0,0.0,1.0,0.2558975848749547,392.9583761604658,1.4059504225507122,3.0,0.8133333333333334,False,11.0,complete,euclidean,,,
