algorithm,cluster_count,noise_count,noise_share,coverage,silhouette_score,calinski_harabasz_score,davies_bouldin_score,minimum_cluster_size,maximum_cluster_share,eligible,n_clusters,linkage,metric,eps,min_samples,inertia,stability_ari_mean,stability_ari_std,stable,selected,supports_predict
Agglomerative Clustering,2,0,0.0,1.0,0.3643502685742159,2346.167398439077,1.3416387553469353,1137.0,0.8387234042553191,True,2.0,ward,euclidean,,,,0.9670942647894278,0.014120247759873632,True,True,False
K-Means,2,0,0.0,1.0,0.36158290627924067,2515.5232682318106,1.3591262579881502,1251.0,0.8225531914893617,True,2.0,,euclidean,,,70782.58474080544,0.9961559033958253,0.001273423607553247,True,False,True
